モジュール,DSC,,,,,,,,
チャンネル,DSC7020,,,,,,,,
データ名,Ni_5Kpm_7.7mg_20241108,,,,,,,,
測定日時,2024/11/08 14:48:32,,,,,,,,
サンプル名,Ni,,,,,,,,
サンプル質量,7.7,mg,,,,,,,
リファレンス名,Al pan,,,,,,,,
リファレンス質量,22.9,mg,,,,,,,
温度プログラム,,Cel,Cel,Cel/min,min,s,ガス１,ガス２,ストアー
,1,317,377,5,3,0.2,On,Off,On
,2,377,317,5,3,0.2,On,Off,On
,温度プログラムモード,ランプ,,,,,,,
,冷却ユニット,全自動ガス冷却,,,,,,,
オペレータ名,伊藤,,,,,,,,
組織名,,,,,,,,,
コメント,オペレータ: 伊藤,,,,,,,,
,ガス1: N2,,,,,,,,
,パン: Al,,,,,,,,
,,,,,,,,,
,,,,,,,,,
面積,,,,,,,,,
Ni_5Kpm_7.7mg_20241108  DSC,,,,,,,,,
No.,DeltaH,,,,,,,,
,mJ/mg,,,,,,,,
1,0.406088363,,,,,,,,
2,-0.388923578,,,,,,,,
,,,,,,,,,
Time,Temp.,DSC,DDSC,,,,,,
0.85,315.722168,-537.1420898,223.1777344,,,,,,
0.853333333,315.7373962,-537.8597412,220.8779297,,,,,,
0.856666667,315.7526245,-538.5639648,218.2910156,,,,,,
0.86,315.7678528,-539.2783203,215.53125,,,,,,
0.863333333,315.7831116,-539.9910889,213.0117188,,,,,,
0.866666667,315.7984314,-540.6876221,210.5375977,,,,,,
0.87,315.8137207,-541.3718262,207.9287109,,,,,,
0.873333333,315.82901,-542.0443115,205.4956055,,,,,,
0.876666667,315.8443604,-542.7138672,203.3422852,,,,,,
0.88,315.8596802,-543.3806152,201.5039063,,,,,,
0.883333333,315.8750305,-544.0465088,199.7226563,,,,,,
0.886666667,315.8904114,-544.7124023,197.7275391,,,,,,
0.89,315.9058228,-545.3673096,195.6474609,,,,,,
0.893333333,315.9212341,-546.0167236,193.9321289,,,,,,
0.896666667,315.936615,-546.6611328,192.5581055,,,,,,
0.9,315.9519958,-547.2937012,190.9584961,,,,,,
0.903333333,315.9674072,-547.923584,188.9882813,,,,,,
0.906666667,315.9828491,-548.5456543,187.0224609,,,,,,
0.91,315.9982605,-549.1520996,185.2368164,,,,,,
0.913333333,316.0136719,-549.7550049,183.4262695,,,,,,
0.916666667,316.0291138,-550.3604736,181.5483398,,,,,,
0.92,316.0445862,-550.9700928,179.6352539,,,,,,
0.923333333,316.0600891,-551.59021,177.7089844,,,,,,
0.926666667,316.075592,-552.1998291,175.8442383,,,,,,
0.93,316.0911255,-552.7849121,173.9985352,,,,,,
0.933333333,316.1066589,-553.3693848,172.1074219,,,,,,
0.936666667,316.1221924,-553.9628906,170.175293,,,,,,
0.94,316.1377258,-554.5483398,168.1083984,,,,,,
0.943333333,316.1532898,-555.1116943,165.8569336,,,,,,
0.946666667,316.1688538,-555.6558838,163.5366211,,,,,,
0.95,316.1843872,-556.1977539,161.4316406,,,,,,
0.953333333,316.1999512,-556.7335205,159.5097656,,,,,,
0.956666667,316.2155151,-557.2521973,157.5849609,,,,,,
0.96,316.2310791,-557.7634277,155.4829102,,,,,,
0.963333333,316.2466431,-558.2698975,153.2329102,,,,,,
0.966666667,316.2622375,-558.7770996,151.0224609,,,,,,
0.97,316.277832,-559.2896729,149.0917969,,,,,,
0.973333333,316.293457,-559.7888184,147.2739258,,,,,,
0.976666667,316.3090515,-560.2792969,145.4545898,,,,,,
0.98,316.324646,-560.7580566,143.7421875,,,,,,
0.983333333,316.340271,-561.2110596,141.9624023,,,,,,
0.986666667,316.3559265,-561.6470947,140.1972656,,,,,,
0.99,316.3716125,-562.0836182,138.4760742,,,,,,
0.993333333,316.3872986,-562.5234375,136.7211914,,,,,,
0.996666667,316.4029846,-562.9686279,135.1289063,,,,,,
1,316.4186707,-563.4069824,133.5629883,,,,,,
1.003333333,316.4343262,-563.8339844,131.8110352,,,,,,
1.006666667,316.4500427,-564.265625,130.0239258,,,,,,
1.01,316.4657593,-564.7012939,128.1328125,,,,,,
1.013333333,316.4814453,-565.1341553,126.1962891,,,,,,
1.016666667,316.4971619,-565.5653076,124.3066406,,,,,,
1.02,316.5128784,-566.012207,122.484375,,,,,,
1.023333333,316.528595,-566.4538574,120.9755859,,,,,,
1.026666667,316.5443726,-566.8671875,119.8007813,,,,,,
1.03,316.5601196,-567.2679443,118.8413086,,,,,,
1.033333333,316.5758972,-567.6635742,117.7924805,,,,,,
1.036666667,316.5916443,-568.0587158,116.5444336,,,,,,
1.04,316.6074219,-568.4494629,115.1894531,,,,,,
1.043333333,316.62323,-568.8218994,113.9355469,,,,,,
1.046666667,316.6390381,-569.1796875,112.7006836,,,,,,
1.05,316.6548157,-569.5351563,111.4658203,,,,,,
1.053333333,316.6706238,-569.8859863,110.1621094,,,,,,
1.056666667,316.6864319,-570.2265625,108.871582,,,,,,
1.06,316.7022095,-570.5599365,107.2207031,,,,,,
1.063333333,316.7180481,-570.8985596,105.0380859,,,,,,
1.066666667,316.7339172,-571.2398682,103.1982422,,,,,,
1.07,316.7497559,-571.5898438,101.8886719,,,,,,
1.073333333,316.765564,-571.9453125,100.7666016,,,,,,
1.076666667,316.7814026,-572.2895508,99.60205078,,,,,,
1.08,316.7972717,-572.6239014,98.32763672,,,,,,
1.083333333,316.8131104,-572.9526367,97.21435547,,,,,,
1.086666667,316.8289795,-573.2773438,96.39990234,,,,,,
1.09,316.8448181,-573.6062012,95.65576172,,,,,,
1.093333333,316.8606567,-573.9364014,94.88671875,,,,,,
1.096666667,316.8765259,-574.2608643,94.03710938,,,,,,
1.1,316.8924255,-574.5762939,93.37353516,,,,,,
1.103333333,316.9082642,-574.8580322,92.77734375,,,,,,
1.106666667,316.9241638,-575.1231689,92.25439453,,,,,,
1.11,316.9400024,-575.4091797,91.81640625,,,,,,
1.113333333,316.9559021,-575.7110596,91.19384766,,,,,,
1.116666667,316.9718018,-576.0137939,90.52148438,,,,,,
1.12,316.9876709,-576.3060303,89.83447266,,,,,,
1.123333333,317.0035706,-576.5933838,89.04345703,,,,,,
1.126666667,317.0194702,-576.8873291,88.37988281,,,,,,
1.13,317.0353699,-577.1820068,87.88916016,,,,,,
1.133333333,317.0513,-577.4754639,87.140625,,,,,,
1.136666667,317.0671997,-577.7576904,86.22070313,,,,,,
1.14,317.0830994,-578.0324707,85.37988281,,,,,,
1.143333333,317.0990601,-578.3173828,85.01953125,,,,,,
